UserId,DishId,ReviewScore
1,2,2.86
1,3,4.82
1,4,4.7
1,6,2.86
1,9,2.86
1,10,4.39
1,12,2.86
1,14,2.86
1,16,2.86
1,18,2.86
1,19,2.86
1,20,2.86
1,25,4.17
1,29,2.86
1,32,2.86
1,34,4.19
1,36,2.86
1,37,2.86
1,39,2.86
1,40,4.86
1,41,4.76
1,43,4.27
1,46,2.86
1,47,2.86
1,48,2.86
1,49,2.86
1,52,2.86
1,55,2.86
1,56,2.86
1,57,2.86
1,58,2.86
1,59,2.86
1,60,2.86
1,61,4.21
1,63,4.72
1,64,1.87
1,65,4.59
1,66,2.86
1,67,4.6
1,68,4.48
1,69,2.86
1,70,2.86
1,71,4.83
1,72,2.86
1,73,2.86
1,75,4.58
1,76,2.86
1,77,2.86
1,79,4.34
1,80,4.87
1,81,4.61
1,82,2.86
1,84,2.86
1,85,2.86
1,86,2.86
1,87,4.23
1,88,4.43
1,89,2.86
1,90,4.1
1,91,2.86
1,92,1.15
1,93,2.86
1,94,2.86
1,95,4.49
1,96,2.86
1,97,4.62
1,98,2.86
1,99,2.86
1,100,1.65
1,101,2.86
1,102,2.86
1,103,4.67
1,106,2.86
1,107,4.83
1,111,2.86
1,112,4.97
1,114,2.86
1,115,2.86
1,116,2.86
1,117,2.86
1,118,2.86
1,119,4.61
1,120,2.86
1,122,2.86
1,123,1.77
1,124,2.86
1,125,2.86
1,126,2.86
1,127,2.86
1,128,2.86
1,130,4.45
1,131,1.43
1,132,2.86
1,133,2.86
1,134,2.86
1,136,2.86
1,137,1.97
1,138,2.86
1,140,1.03
1,141,2.86
1,142,2.86
1,144,2.86
1,145,4.15
1,146,4.01
1,147,4.45
1,148,1.82
1,149,1.84
1,150,4.91
1,151,2.86
1,152,2.86
1,153,4.66
1,154,4.44
1,156,2.86
1,157,2.86
1,158,2.86
1,159,2.86
1,160,4.91
1,162,2.86
1,163,2.86
1,164,2.86
1,165,4.97
1,166,2.86
1,167,4.48
1,168,2.86
1,169,1.93
1,170,2.86
1,171,2.86
1,172,2.86
1,173,2.86
1,174,2.86
1,175,1.35
1,177,4.7
1,178,2.86
1,180,1.49
1,182,2.86
1,183,4.33
1,186,2.86
1,187,2.86
1,188,1.61
1,189,2.86
1,190,2.86
1,191,2.86
1,192,2.86
1,194,4.59
1,195,4.19
1,197,2.86
1,198,4.66
1,199,4.87
1,200,2.86
1,201,2.86
1,202,2.86
1,203,2.86
1,204,2.86
1,205,2.86
1,206,4.62
1,207,1.66
1,208,2.86
1,209,2.86
1,210,2.86
1,211,4.25
1,212,1.38
1,213,2.86
1,214,4.82
1,215,4.31
1,216,1.85
1,217,4.71
1,219,2.86
1,220,2.86
1,221,2.86
1,222,2.86
1,223,1.26
1,224,4.85
1,225,1.23
1,226,1.42
1,227,2.86
1,228,1.44
1,229,2.86
1,230,2.86
1,231,1.45
1,233,4.77
1,234,2.86
1,235,2.86
1,236,2.86
1,237,5.0
1,240,1.43
1,241,1.39
1,242,2.86
1,244,2.86
1,245,2.86
1,246,2.86
1,247,4.36
1,251,2.86
1,252,4.93
1,254,2.86
1,255,2.86
1,256,2.86
1,257,2.86
1,258,4.87
1,259,2.86
1,260,2.86
1,261,2.86
1,262,2.86
1,263,4.85
1,264,4.01
1,265,4.55
1,267,4.48
1,270,4.9
1,271,2.86
1,273,2.86
1,274,2.86
1,275,4.62
1,277,2.86
1,278,2.86
1,279,4.46
1,280,2.86
1,281,2.86
1,283,2.86
1,284,2.86
1,285,2.86
1,287,2.86
1,288,4.45
1,289,2.86
1,290,2.86
1,291,2.86
1,292,4.82
1,294,4.68
1,298,2.86
1,299,2.86
1,300,2.86
1,301,2.86
1,302,2.86
1,303,2.86
1,304,2.86
1,305,4.64
1,306,4.12
1,307,2.86
1,308,2.86
1,309,2.86
1,311,2.86
1,314,2.86
1,315,2.86
1,316,1.79
1,318,2.86
1,319,2.86
1,320,1.47
1,321,2.86
1,323,2.86
1,324,2.86
1,325,2.86
1,326,2.86
1,328,2.86
1,329,2.86
1,330,2.86
1,331,2.86
1,332,2.86
1,333,2.86
1,334,2.86
1,335,2.86
1,337,2.86
1,338,2.86
1,339,2.86
1,340,2.86
1,341,4.9
1,346,2.86
1,347,4.86
1,348,4.27
1,349,2.86
1,350,4.72
1,351,2.86
1,352,2.86
1,353,2.86
1,355,2.86
1,358,2.86
1,359,2.86
1,365,2.86
1,366,2.86
1,367,2.86
1,370,2.86
1,371,2.86
1,372,2.86
1,373,4.15
1,374,2.86
1,375,2.86
1,376,2.86
1,377,4.83
1,378,2.86
1,379,4.03
1,381,2.86
1,382,1.16
1,383,4.24
1,384,2.86
1,385,2.86
1,387,4.78
1,388,4.16
1,389,2.86
1,390,2.86
1,391,4.32
1,392,4.81
1,393,2.86
1,394,4.37
1,396,2.86
1,397,2.86
1,398,2.86
1,399,2.86
1,400,4.08
1,401,2.86
1,402,4.31
1,403,2.86
1,404,2.86
1,406,2.86
1,407,4.91
1,408,4.71
1,409,2.86
1,410,4.36
1,411,2.86
1,412,2.86
1,413,2.86
1,414,4.16
1,415,2.86
1,416,4.79
1,417,2.86
1,418,2.86
1,419,2.86
1,420,4.05
1,421,2.86
1,422,2.86
1,423,2.86
1,424,2.86
1,426,4.96
1,427,2.86
1,428,1.03
1,430,2.86
1,431,2.86
1,432,2.86
1,433,4.5
1,434,2.86
1,435,4.91
1,436,4.76
1,437,1.55
1,438,2.86
1,439,4.31
1,440,2.86
1,441,4.47
1,442,1.13
1,443,1.95
1,444,2.86
1,445,2.86
1,446,2.86
1,447,2.86
1,448,2.86
1,449,2.86
1,450,2.86
1,451,2.86
1,452,2.86
1,453,4.18
1,454,1.17
1,455,2.86
1,456,4.88
1,458,2.86
1,459,4.13
1,460,2.86
1,461,2.86
1,463,2.86
1,464,2.86
1,466,2.86
1,467,2.86
1,468,4.8
1,470,2.86
1,471,2.86
1,472,2.86
1,473,2.86
1,474,2.86
1,475,4.38
1,476,4.74
1,477,2.86
1,478,2.86
1,479,4.74
1,480,2.86
1,481,2.86
1,482,2.86
1,483,2.86
1,484,2.86
1,485,2.86
1,488,2.86
1,489,2.86
1,490,2.86
1,491,2.86
1,492,2.86
1,493,4.81
1,494,2.86
1,495,2.86
1,496,2.86
1,497,4.71
1,498,2.86
