Name,Ingredients,Level,FoodType,ImageSrc
Asparagus stir-fry,"350 g firm tofu 2 teaspoons groundnut oil 2 tablespoons sesame seeds ½ tablespoon cornflour 2 tablespoons soy sauce 1 tablespoon white wine vinegar 1 clove of garlic 1 fresh red chilli , plus extra to serve 5 cm piece of ginger 320 g asparagus 150 g beansprouts 200 g rice noodles , to serve (optional) 350 g firm tofu 2 teaspoons groundnut oil 2 tablespoons sesame seeds ½ tablespoon cornflour 2 tablespoons soy sauce 1 tablespoon white wine vinegar 1 clove of garlic 1 fresh red chilli , plus extra to serve 5 cm piece of ginger 320 g asparagus 150 g beansprouts 200 g rice noodles , to serve (optional) 350 g firm tofu 2 teaspoons groundnut oil 2 tablespoons sesame seeds ½ tablespoon cornflour 2 tablespoons soy sauce 1 tablespoon white wine vinegar 1 clove of garlic 1 fresh red chilli , plus extra to serve 5 cm piece of ginger 320 g asparagus 150 g beansprouts 200 g rice noodles , to serve (optional) 350 g firm tofu 2 teaspoons groundnut oil 2 tablespoons sesame seeds ½ tablespoon cornflour 2 tablespoons soy sauce 1 tablespoon white wine vinegar 1 clove of garlic 1 fresh red chilli , plus extra to serve 5 cm piece of ginger 320 g asparagus 150 g beansprouts 200 g rice noodles , to serve (optional)",not-too-tricky,vegetable,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Sweet potato fishcakes,"500 g potatoes 500 g sweet potatoes 2 red peppers extra virgin olive oil 2 teaspoons chipotle Tabasco sauce 500 g white fish fillets from sustainable sources , skin off, pin-boned olive oil 1 cucumber 1 iceburg lettuce 1 heaped teaspoon English mustard 4 heaped tablespoons natural yoghurt 1 tablespoon white wine vinegar 40 g feta cheese ½ a bunch of fresh mint , (15g) 1 lemon 500 g potatoes 500 g sweet potatoes 2 red peppers extra virgin olive oil 2 teaspoons chipotle Tabasco sauce 500 g white fish fillets from sustainable sources , skin off, pin-boned olive oil 1 cucumber 1 iceburg lettuce 1 heaped teaspoon English mustard 4 heaped tablespoons natural yoghurt 1 tablespoon white wine vinegar 40 g feta cheese ½ a bunch of fresh mint , (15g) 1 lemon 500 g potatoes 500 g sweet potatoes 2 red peppers extra virgin olive oil 2 teaspoons chipotle Tabasco sauce 500 g white fish fillets from sustainable sources , skin off, pin-boned olive oil 1 cucumber 1 iceburg lettuce 1 heaped teaspoon English mustard 4 heaped tablespoons natural yoghurt 1 tablespoon white wine vinegar 40 g feta cheese ½ a bunch of fresh mint , (15g) 1 lemon 500 g potatoes 500 g sweet potatoes 2 red peppers extra virgin olive oil 2 teaspoons chipotle Tabasco sauce 500 g white fish fillets from sustainable sources , skin off, pin-boned olive oil 1 cucumber 1 iceburg lettuce 1 heaped teaspoon English mustard 4 heaped tablespoons natural yoghurt 1 tablespoon white wine vinegar 40 g feta cheese ½ a bunch of fresh mint , (15g) 1 lemon",not-too-tricky,fish,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Spring chicken stew,"olive oil 2 rashers of higher-welfare smoked streaky bacon 2 sprigs of fresh rosemary 2 onions 2 carrots 400 g new potatoes 100 g pearl barley 1 heaped tablespoon plain wholemeal flour 500 ml organic chicken stock 500 ml semi-skimmed milk 2 courgettes 1 bunch of asparagus , (350g) 200 g green beans 4 x 120 g free-range skinless chicken breasts 1 tablespoon mint sauce olive oil 2 rashers of higher-welfare smoked streaky bacon 2 sprigs of fresh rosemary 2 onions 2 carrots 400 g new potatoes 100 g pearl barley 1 heaped tablespoon plain wholemeal flour 500 ml organic chicken stock 500 ml semi-skimmed milk 2 courgettes 1 bunch of asparagus , (350g) 200 g green beans 4 x 120 g free-range skinless chicken breasts 1 tablespoon mint sauce olive oil 2 rashers of higher-welfare smoked streaky bacon 2 sprigs of fresh rosemary 2 onions 2 carrots 400 g new potatoes 100 g pearl barley 1 heaped tablespoon plain wholemeal flour 500 ml organic chicken stock 500 ml semi-skimmed milk 2 courgettes 1 bunch of asparagus , (350g) 200 g green beans 4 x 120 g free-range skinless chicken breasts 1 tablespoon mint sauce olive oil 2 rashers of higher-welfare smoked streaky bacon 2 sprigs of fresh rosemary 2 onions 2 carrots 400 g new potatoes 100 g pearl barley 1 heaped tablespoon plain wholemeal flour 500 ml organic chicken stock 500 ml semi-skimmed milk 2 courgettes 1 bunch of asparagus , (350g) 200 g green beans 4 x 120 g free-range skinless chicken breasts 1 tablespoon mint sauce",not-too-tricky,chicken,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Chicken goujons,"6 wholemeal pittas 4 x 120 g free-range skinless chicken breasts 1 bunch of fresh basil , (30g) 1 large free-range egg 2 cloves of garlic 20 g Parmesan cheese 1 lemon 4 heaped tablespoons Greek yoghurt 1 ripe avocado chipotle Tabasco sauce extra virgin olive oil 2 little gem lettuces 320 g ripe cherry tomatoes 6 wholemeal pittas 4 x 120 g free-range skinless chicken breasts 1 bunch of fresh basil , (30g) 1 large free-range egg 2 cloves of garlic 20 g Parmesan cheese 1 lemon 4 heaped tablespoons Greek yoghurt 1 ripe avocado chipotle Tabasco sauce extra virgin olive oil 2 little gem lettuces 320 g ripe cherry tomatoes 6 wholemeal pittas 4 x 120 g free-range skinless chicken breasts 1 bunch of fresh basil , (30g) 1 large free-range egg 2 cloves of garlic 20 g Parmesan cheese 1 lemon 4 heaped tablespoons Greek yoghurt 1 ripe avocado chipotle Tabasco sauce extra virgin olive oil 2 little gem lettuces 320 g ripe cherry tomatoes 6 wholemeal pittas 4 x 120 g free-range skinless chicken breasts 1 bunch of fresh basil , (30g) 1 large free-range egg 2 cloves of garlic 20 g Parmesan cheese 1 lemon 4 heaped tablespoons Greek yoghurt 1 ripe avocado chipotle Tabasco sauce extra virgin olive oil 2 little gem lettuces 320 g ripe cherry tomatoes",not-too-tricky,chicken,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Sweet & sour stir-fry,"100 g fine rice noodles 1 x 227 g tin of pineapple chunks in juice 2 heaped teaspoons cornflour 1 tablespoon cider vinegar 2 teaspoons low-salt soy sauce 2 teaspoons sesame seeds 30 g cashew nuts 4 spring onions 2 cloves of garlic 2 cm piece of ginger 1 fresh red chilli 200 g sugarsnap peas groundnut oil 200 g sprouts , such as alfalfa sprouts, chickpea sprouts, beansprouts 1 lime 100 g fine rice noodles 1 x 227 g tin of pineapple chunks in juice 2 heaped teaspoons cornflour 1 tablespoon cider vinegar 2 teaspoons low-salt soy sauce 2 teaspoons sesame seeds 30 g cashew nuts 4 spring onions 2 cloves of garlic 2 cm piece of ginger 1 fresh red chilli 200 g sugarsnap peas groundnut oil 200 g sprouts , such as alfalfa sprouts, chickpea sprouts, beansprouts 1 lime 100 g fine rice noodles 1 x 227 g tin of pineapple chunks in juice 2 heaped teaspoons cornflour 1 tablespoon cider vinegar 2 teaspoons low-salt soy sauce 2 teaspoons sesame seeds 30 g cashew nuts 4 spring onions 2 cloves of garlic 2 cm piece of ginger 1 fresh red chilli 200 g sugarsnap peas groundnut oil 200 g sprouts , such as alfalfa sprouts, chickpea sprouts, beansprouts 1 lime 100 g fine rice noodles 1 x 227 g tin of pineapple chunks in juice 2 heaped teaspoons cornflour 1 tablespoon cider vinegar 2 teaspoons low-salt soy sauce 2 teaspoons sesame seeds 30 g cashew nuts 4 spring onions 2 cloves of garlic 2 cm piece of ginger 1 fresh red chilli 200 g sugarsnap peas groundnut oil 200 g sprouts , such as alfalfa sprouts, chickpea sprouts, beansprouts 1 lime",not-too-tricky,vegetable,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Sardine spaghetti,"2 large ripe tomatoes , (200g) 1 x 120 g tin of sardine fillets in olive oil 200 g baby spinach 300 g dried wholewheat spaghetti 1 bulb of fennel 2 lemons 20 g ricotta salata 1 pinch of dried chilli flakes 2 large ripe tomatoes , (200g) 1 x 120 g tin of sardine fillets in olive oil 200 g baby spinach 300 g dried wholewheat spaghetti 1 bulb of fennel 2 lemons 20 g ricotta salata 1 pinch of dried chilli flakes 2 large ripe tomatoes , (200g) 1 x 120 g tin of sardine fillets in olive oil 200 g baby spinach 300 g dried wholewheat spaghetti 1 bulb of fennel 2 lemons 20 g ricotta salata 1 pinch of dried chilli flakes 2 large ripe tomatoes , (200g) 1 x 120 g tin of sardine fillets in olive oil 200 g baby spinach 300 g dried wholewheat spaghetti 1 bulb of fennel 2 lemons 20 g ricotta salata 1 pinch of dried chilli flakes",not-too-tricky,pasta,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Mexican-style roasted veg ragù,"2 sweet potatoes 300 g butternut squash or pumpkin 2 carrots 150 g frozen sweetcorn 1 tablespoon coriander seeds ½ tablespoon dried oregano olive oil 2 onions 2 cloves of garlic 1 fresh red chilli 1 green pepper 2 sticks of celery 2 x 400 g tins of black beans 1 x 400 g tin of quality plum tomatoes 1 bunch of fresh mint , (30g) 8 spring onions 4 limes 1-2 teaspoons chipotle Tabasco sauce 300 g brown rice 2 sweet potatoes 300 g butternut squash or pumpkin 2 carrots 150 g frozen sweetcorn 1 tablespoon coriander seeds ½ tablespoon dried oregano olive oil 2 onions 2 cloves of garlic 1 fresh red chilli 1 green pepper 2 sticks of celery 2 x 400 g tins of black beans 1 x 400 g tin of quality plum tomatoes 1 bunch of fresh mint , (30g) 8 spring onions 4 limes 1-2 teaspoons chipotle Tabasco sauce 300 g brown rice 2 sweet potatoes 300 g butternut squash or pumpkin 2 carrots 150 g frozen sweetcorn 1 tablespoon coriander seeds ½ tablespoon dried oregano olive oil 2 onions 2 cloves of garlic 1 fresh red chilli 1 green pepper 2 sticks of celery 2 x 400 g tins of black beans 1 x 400 g tin of quality plum tomatoes 1 bunch of fresh mint , (30g) 8 spring onions 4 limes 1-2 teaspoons chipotle Tabasco sauce 300 g brown rice 2 sweet potatoes 300 g butternut squash or pumpkin 2 carrots 150 g frozen sweetcorn 1 tablespoon coriander seeds ½ tablespoon dried oregano olive oil 2 onions 2 cloves of garlic 1 fresh red chilli 1 green pepper 2 sticks of celery 2 x 400 g tins of black beans 1 x 400 g tin of quality plum tomatoes 1 bunch of fresh mint , (30g) 8 spring onions 4 limes 1-2 teaspoons chipotle Tabasco sauce 300 g brown rice",not-too-tricky,vegetable,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Griddled avocado & broccoli tacos,"50 g pumpkin seeds 1 head of broccoli olive oil 3 ripe avocados ground cayenne pepper 16 tacos DRESSING 1 large bunch of fresh coriander , (60g) 250 g ricotta cheese 1 splash of milk 1 clove of garlic 50 g pumpkin seeds 1 head of broccoli olive oil 3 ripe avocados ground cayenne pepper 16 tacos DRESSING 1 large bunch of fresh coriander , (60g) 250 g ricotta cheese 1 splash of milk 1 clove of garlic 50 g pumpkin seeds 1 head of broccoli olive oil 3 ripe avocados ground cayenne pepper 16 tacos DRESSING 1 large bunch of fresh coriander , (60g) 250 g ricotta cheese 1 splash of milk 1 clove of garlic 50 g pumpkin seeds 1 head of broccoli olive oil 3 ripe avocados ground cayenne pepper 16 tacos DRESSING 1 large bunch of fresh coriander , (60g) 250 g ricotta cheese 1 splash of milk 1 clove of garlic",not-too-tricky,avocado,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Lovely lamb balti,1 medium butternut squash ½ a jar of balti curry paste 500 g lamb neck fillet 1 lime 1 x 500 g tub of Greek yoghurt groundnut oil 2 cloves of garlic 4cm piece of ginger 1 fresh red chilli 1 onion 2 x 400 g tins of quality plum tomatoes a few sprigs of fresh coriander 1 medium butternut squash ½ a jar of balti curry paste 500 g lamb neck fillet 1 lime 1 x 500 g tub of Greek yoghurt groundnut oil 2 cloves of garlic 4cm piece of ginger 1 fresh red chilli 1 onion 2 x 400 g tins of quality plum tomatoes a few sprigs of fresh coriander 1 medium butternut squash ½ a jar of balti curry paste 500 g lamb neck fillet 1 lime 1 x 500 g tub of Greek yoghurt groundnut oil 2 cloves of garlic 4cm piece of ginger 1 fresh red chilli 1 onion 2 x 400 g tins of quality plum tomatoes a few sprigs of fresh coriander 1 medium butternut squash ½ a jar of balti curry paste 500 g lamb neck fillet 1 lime 1 x 500 g tub of Greek yoghurt groundnut oil 2 cloves of garlic 4cm piece of ginger 1 fresh red chilli 1 onion 2 x 400 g tins of quality plum tomatoes a few sprigs of fresh coriander,not-too-tricky,lamb,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Harissa meatball wraps,"500 g minced beef 1 x 250 g sachet of cooked grains or lentils 1 lemon 1 bunch of fresh flat-leaf parsley , (30g) 3 teaspoons harissa 350 g red cabbage 1 small red onion 1 red apple 4 tablespoons natural yoghurt olive oil 4 wholemeal tortilla pickled chillies , optional 500 g minced beef 1 x 250 g sachet of cooked grains or lentils 1 lemon 1 bunch of fresh flat-leaf parsley , (30g) 3 teaspoons harissa 350 g red cabbage 1 small red onion 1 red apple 4 tablespoons natural yoghurt olive oil 4 wholemeal tortilla pickled chillies , optional 500 g minced beef 1 x 250 g sachet of cooked grains or lentils 1 lemon 1 bunch of fresh flat-leaf parsley , (30g) 3 teaspoons harissa 350 g red cabbage 1 small red onion 1 red apple 4 tablespoons natural yoghurt olive oil 4 wholemeal tortilla pickled chillies , optional 500 g minced beef 1 x 250 g sachet of cooked grains or lentils 1 lemon 1 bunch of fresh flat-leaf parsley , (30g) 3 teaspoons harissa 350 g red cabbage 1 small red onion 1 red apple 4 tablespoons natural yoghurt olive oil 4 wholemeal tortilla pickled chillies , optional",not-too-tricky,beef,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
